Date,HDFCBANK.NS,ICICIBANK.NS,INFY.NS,RELIANCE.NS,TCS.NS
2022-02-08,1409.41845703125,774.672119140625,1587.5999755859375,1079.965576171875,3435.432373046875
2022-02-09,1443.8861083984375,784.7404174804688,1606.08935546875,1092.5482177734375,3451.125
2022-02-10,1470.39990234375,787.3796997070312,1635.949951171875,1091.42529296875,3460.118896484375
2022-02-11,1464.3740234375,773.0103149414062,1591.343994140625,1089.293701171875,3390.923095703125
2022-02-14,1420.8433837890625,736.7449951171875,1555.1507568359375,1071.9439697265625,3426.52978515625
2022-02-15,1463.3616943359375,758.5921630859375,1606.9677734375,1108.33935546875,3503.66455078125
2022-02-16,1461.3851318359375,746.8621826171875,1602.3914794921875,1106.0474853515625,3499.3515625
2022-02-17,1452.4669189453125,733.4702758789062,1594.533447265625,1120.0509033203125,3472.828857421875
2022-02-18,1458.1070556640625,732.0529174804688,1578.031494140625,1111.2960205078125,3481.73095703125
2022-02-21,1467.5074462890625,737.4780883789062,1599.98779296875,1100.065673828125,3413.361083984375
2022-02-22,1456.5162353515625,734.39892578125,1603.3621826171875,1095.0692138671875,3291.304443359375
2022-02-23,1447.06787109375,727.8496704101562,1611.2200927734375,1088.2164306640625,3270.563720703125
2022-02-24,1368.4908447265625,691.4865112304688,1551.40673828125,1033.9901123046875,3121.755859375
2022-02-25,1403.8746337890625,713.626953125,1566.6143798828125,1046.9166259765625,3231.056396484375
2022-02-28,1375.09521484375,725.992431640625,1586.0283203125,1081.5699462890625,3261.75390625
2022-03-02,1324.960205078125,698.7689208984375,1574.1951904296875,1099.44677734375,3254.3662109375
2022-03-03,1321.826904296875,682.5912475585938,1590.8817138671875,1090.1646728515625,3252.760009765625
2022-03-04,1317.48828125,672.5718383789062,1593.146728515625,1065.985107421875,3234.3603515625
2022-03-07,1277.2840576171875,639.04345703125,1608.4468994140625,1026.564453125,3198.15576171875
2022-03-08,1280.17626953125,650.0403442382812,1643.900390625,1024.7078857421875,3303.739501953125
2022-03-09,1321.9715576171875,652.4352416992188,1676.3956298828125,1079.07177734375,3333.703125
2022-03-10,1342.7484130859375,661.37939453125,1687.997802734375,1096.5589599609375,3323.01123046875
2022-03-11,1346.7015380859375,662.650146484375,1684.3924560546875,1099.7216796875,3303.005126953125
2022-03-14,1390.810546875,680.4896240234375,1747.90380859375,1108.7518310546875,3343.247802734375
2022-03-15,1372.9259033203125,681.66259765625,1700.3858642578125,1083.357666015625,3298.18701171875
2022-03-16,1396.209716796875,692.072998046875,1746.7017822265625,1101.6470947265625,3355.0859375
2022-03-17,1426.9656982421875,703.9007568359375,1714.5302734375,1137.56103515625,3370.5498046875
2022-03-21,1433.1842041015625,694.7611694335938,1713.0975341796875,1131.0062255859375,3328.2890625
2022-03-22,1440.56005859375,702.0435791015625,1744.8529052734375,1160.22802734375,3396.428955078125
2022-03-23,1426.1942138671875,702.1412963867188,1730.9857177734375,1163.9178466796875,3406.9365234375
2022-03-24,1390.9071044921875,688.3585205078125,1744.205810546875,1182.0008544921875,3441.3056640625
2022-03-25,1379.5784912109375,683.5198974609375,1734.82275390625,1189.8851318359375,3402.39404296875
2022-03-28,1381.410400390625,694.3701171875,1732.3726806640625,1201.848876953125,3402.623291015625
2022-03-29,1399.7288818359375,699.2088012695312,1743.558837890625,1202.123779296875,3400.46728515625
2022-03-30,1423.9766845703125,714.4578857421875,1760.1529541015625,1225.226318359375,3424.510986328125
2022-03-31,1417.6134033203125,713.871337890625,1762.833984375,1207.716064453125,3432.22021484375
2022-04-01,1451.9849853515625,719.6875,1759.783447265625,1217.3878173828125,3449.473388671875
2022-04-04,1597.376220703125,729.8046264648438,1740.739013671875,1220.9862060546875,3460.118896484375
2022-04-05,1550.5675048828125,725.1126098632812,1720.5391845703125,1203.7281494140625,3500.911376953125
2022-04-06,1495.2261962890625,724.9171752929688,1690.7252197265625,1200.5196533203125,3446.352783203125
2022-04-07,1462.3492431640625,731.7108764648438,1674.22314453125,1179.3424072265625,3381.011474609375
2022-04-08,1460.3245849609375,737.3314819335938,1677.55126953125,1198.9610595703125,3382.38818359375
2022-04-11,1442.4881591796875,742.51220703125,1633.13037109375,1196.462890625,3392.253662109375
2022-04-12,1439.93310546875,746.6665649414062,1610.8504638671875,1173.93359375,3387.3896484375
2022-04-13,1412.4071044921875,745.1026611328125,1616.4898681640625,1169.624755859375,3360.63818359375
2022-04-18,1345.39990234375,740.7527465820312,1498.94287109375,1166.04931640625,3237.755859375
2022-04-19,1294.059814453125,749.0615234375,1444.029296875,1210.4892578125,3186.2255859375
2022-04-20,1305.7259521484375,738.5534057617188,1467.7879638671875,1246.0823974609375,3264.139892578125
2022-04-21,1325.0567626953125,745.2003784179688,1496.5391845703125,1275.2584228515625,3330.078369140625
2022-04-22,1306.9791259765625,730.8311157226562,1465.7078857421875,1264.578125,3315.302978515625
2022-04-25,1316.76513671875,735.2786865234375,1443.197021484375,1235.33349609375,3256.247802734375
2022-04-26,1322.8392333984375,736.7938232421875,1461.593994140625,1272.3017578125,3254.504150390625
2022-04-27,1323.3214111328125,720.1273803710938,1435.52392578125,1273.53955078125,3268.177490234375
2022-04-28,1322.164306640625,730.3423461914062,1463.0733642578125,1292.562255859375,3289.376953125
2022-04-29,1334.9390869140625,726.5789184570312,1449.159912109375,1278.9942626953125,3254.871337890625
2022-05-02,1353.35400390625,724.3307495117188,1424.6153564453125,1274.5020751953125,3250.925048828125
